Year,Region,Country,Both,Male,Female
2022,Western Pacific,New Zealand,33.6,32.3,36.121
2022,Americas,Nicaragua,33.6,27.8,36.122
2022,Africa,Niger,6,4.4,36.123
2022,Africa,Nigeria,12.4,8.2,36.124
2022,Western Pacific,Niue,66.6,62.7,36.125
2022,Europe,North Macedonia,27.5,28.1,36.126
2022,Europe,Norway,19.1,20.5,36.127
2022,Eastern Mediterranean,Palestine,37.6,28.8,36.128
2022,Eastern Mediterranean,Oman,31.1,26.2,36.129
2022,Eastern Mediterranean,Pakistan,23,19.9,36.13
2022,Western Pacific,Palau,41.1,38.2,36.131
2022,Americas,Panama,36.1,29,36.132
2022,Western Pacific,Papua New Guinea,20.5,16,36.133
2022,Americas,Paraguay,33,29.8,36.134
2022,Americas,Peru,27.3,22.9,36.135
2022,Western Pacific,Philippines,8.7,7.2,36.136
2022,Europe,Poland,27.5,31.1,36.137
2022,Europe,Portugal,21.8,21.2,36.138
2022,Americas,Puerto Rico,41.1,35.8,36.139
2022,Eastern Mediterranean,Qatar,43.1,40.3,36.14
2022,Western Pacific,South Korea,7.3,8.8,36.141
2022,Europe,Moldova,23,21.1,36.142
2022,Europe,Romania,34,37.1,36.143
2022,Europe,Russia,24.2,23.4,36.144
2022,Africa,Rwanda,4.9,1.8,36.145
2022,Americas,Saint Kitts and Nevis,45.6,36.7,36.146
2022,Americas,Saint Lucia,33.5,20.4,36.147
2022,Americas,Saint Vincent and the Grenadines,33.2,18.7,36.148
2022,Western Pacific,Samoa,62.4,51.3,36.149
2022,Africa,Sao Tome and Principe,16.5,9.7,36.15
2022,Eastern Mediterranean,Saudi Arabia,40.6,37.3,36.151
2022,Africa,Senegal,10.2,3.9,36.152
2022,Europe,Serbia,22.5,25.5,36.153
2022,Africa,Seychelles,29.4,20.2,36.154
2022,Africa,Sierra Leone,7.1,2.7,36.155
2022,Western Pacific,Singapore,13.9,15.9,36.156
2022,Europe,Slovakia,26.8,30.4,36.157
2022,Europe,Slovenia,19.4,24.7,36.158
2022,Western Pacific,Solomon Islands,22.6,17.5,36.159
2022,Eastern Mediterranean,Somalia,14.6,5.8,36.16
2022,Africa,South Africa,30.8,13.9,36.161
2022,Eastern Mediterranean,S. Sudan,8.6,5.1,36.162
2022,Europe,Spain,15.7,18.7,36.163
2022,South-East Asia,Sri Lanka,10.6,6.6,36.164
2022,Eastern Mediterranean,Sudan,17,11.4,36.165
2022,Americas,Suriname,29,19.1,36.166
2022,Europe,Sweden,15.3,16.7,36.167
2022,Europe,Switzerland,12.1,14.6,36.168
2022,Eastern Mediterranean,Syria,33.9,26,36.169
2022,Europe,Turkey,33.3,25.2,36.17
2022,Europe,Tajikistan,23.8,19.8,36.171
2022,South-East Asia,Thailand,15.4,12.2,36.172
2022,South-East Asia,Timor,2.4,1.6,36.173
2022,Africa,Togo,11.6,5.6,36.174
2022,Western Pacific,Tokelau,69.8,65.8,36.175
2022,Western Pacific,Tonga,71.7,62.3,36.176
2022,Americas,Trinidad and Tobago,28.1,22.4,36.177
2022,Eastern Mediterranean,Tunisia,26.8,19.3,36.178
2022,Europe,Turkmenistan,21.4,18.8,36.179
2022,Western Pacific,Tuvalu,64.2,56.8,36.18
2022,Africa,Uganda,7.9,4.1,36.181
2022,Europe,Ukraine,23.6,19.9,36.182
2022,Eastern Mediterranean,United Arab Emirates,32.1,28.6,36.183
2022,Europe,United Kingdom,26.8,26.1,36.184
2022,Africa,Tanzania,12.6,6.5,36.185
2022,Americas,United States of America,42,40.8,36.186
2022,Americas,Uruguay,33.3,30.7,36.187
2022,Europe,Uzbekistan,30,26.8,36.188
2022,Western Pacific,Vanuatu,21.3,16.3,36.189
2022,Americas,Venezuela,22.7,20.2,36.19
2022,Western Pacific,Vietnam,2,1.9,36.191
2022,Eastern Mediterranean,Yemen,13.7,10.1,36.192
2022,Africa,Zambia,11.1,5.1,36.193
2022,Africa,Zimbabwe,14.2,5.5,36.194
